Event,Performance,Athlete,Nationality,Date,Meeting,Location City,Location Country,Gender,Setting,Official,Category
8 km (road),24:30.00,Mary Keitany,KEN,2011-02-18,RAK Half Marathon,Ras al-Khaimah,UAE,Female,Outdoor,False,Long Distance
12 km (road),38:05.00,Brillian Kipkoech,KEN,2019-05-19,FNB Cape Town 12 ONERUN,Cape Town,RSA,Female,Outdoor,False,Long Distance
15 km (road),44:20.00,Letesenbet Gidey,ETH,2019-11-17,Zevenheuvelenloop,Nijmegen,NED,Female,Outdoor,False,Long Distance
15 km (road),46:24.00,Joyciline Jepkosgei,KEN,2020-10-17,World Athletics Half Marathon Championships,Gdynia,POL,Female,Outdoor,False,Long Distance
10 miles (road),51:23.00,Keira D'Amato,USA,2020-11-24,Up Dawg Ten Miler,"Washington, D.C.",USA,Female,Outdoor,False,Long Distance
10 miles (road),50:05.00,Mary Keitany,KEN,2011-02-18,RAK Half Marathon,Ras al-Khaimah,UAE,Female,Outdoor,False,Long Distance
10 miles (road),49:21.00,Brigid Kosgei,KEN,2019-09-08,Great North Run,"Newcastle upon Tyne–South Shields, United Kingdom",GBR,Female,Outdoor,False,Long Distance
"20,000 m (track)",1:05:26.60,Tegla Loroupe,KEN,2000-09-03,,Borgholzhausen,GER,Female,Outdoor,False,Long Distance
20 km (road),59:35.00,Letesenbet Gidey,ETH,2021-10-24,Valencia Half Marathon,Valencia,ESP,Female,Outdoor,False,Long Distance
20 km (road),1:02:04.00,Peres Jepchirchir,KEN,2020-10-17,World Athletics Half Marathon Championships,Gdynia,POL,Female,Outdoor,False,Long Distance
"25,000 m (track)",1:27:05.84,Tegla Loroupe,KEN,2002-09-21,,Mengerskirchen,GER,Female,Outdoor,False,Long Distance
25 km (road),1:18:03.00,Ruth Chepngetich,KEN,2022-10-09,Chicago Marathon,Chicago,USA,Female,Outdoor,False,Long Distance
25 km (road),1:19:43.00,Mary Jepkosgei Keitany,KEN,2017-04-23,London Marathon,London,GBR,Female,Outdoor,False,Long Distance
"30,000 m (track)",1:45:50.00,Tegla Loroupe,KEN,2003-06-06,,Warstein,GER,Female,Outdoor,False,Long Distance
30 km (road),1:34:01.00,Ruth Chepngetich,KEN,2022-10-09,Chicago Marathon,Chicago,USA,Female,Outdoor,False,Long Distance
30 km (road),1:36:05.00,Mary Jepkosgei Keitany,KEN,2017-04-23,London Marathon,London,GBR,Female,Outdoor,False,Long Distance
35 km (road),1:49:41.00,Tigst Assefa,ETH,2023-09-24,Berlin Marathon,Berlin,GER,Female,Outdoor,False,Long Distance
35 km (road),1:52:39.00,Mary Jepkosgei Keitany,KEN,2017-04-23,London Marathon,London,GBR,Female,Outdoor,False,Long Distance
40 km (road),2:05:13.00,Tigst Assefa,ETH,2023-09-24,Berlin Marathon,Berlin,GER,Female,Outdoor,False,Long Distance
40 km (road),2:09:38.00,Mary Jepkosgei Keitany,KEN,2017-04-23,London Marathon,London,GBR,Female,Outdoor,False,Long Distance
100 miles (road),12:42:40.00,Camille Herron,USA,2017-11-11,Tunnel Hill 100,Vienna,USA,Female,Outdoor,False,Long Distance
12-hour run (track),"149,130 m",Camille Herron,USA,2017-12-09,Desert Solstice Track Invitational,Phoenix,USA,Female,Outdoor,False,Long Distance
12-hour run (road),"152,633 m",Dominika Stelmach,POL,2023-01-05,Spartanion Race,Tel Aviv,ISR,Female,Outdoor,False,Long Distance
24-hour run (road),"270,116 m",Camille Herron,USA,2019-10-26,IAU 24 Hour World Championship,Albi,FRA,Female,Outdoor,False,Long Distance
48-hour run (road),"435,366 m",Camille Herron,USA,2023-03-25,Sri Chinmoy 48 Hour Festival,Bruce,AUS,Female,Outdoor,False,Long Distance
2000 m steeplechase,5:47.42,Beatrice Chepkoech,KEN,2023-09-10,Hanžeković Memorial,Zagreb,CRO,Female,Outdoor,False,Middle Distance
200 m hurdles (bend),24.80,Yadisleidy Pedroso,ITA,2013-04-06,,Caserta,ITA,Female,Outdoor,False,Hurdles
200 m hurdles (bend),25.60,Patricia Girard,FRA,2001-08-23,,Nantes,FRA,Female,Outdoor,False,Hurdles
200 m hurdles (bend),25.79,Lauren Wells,AUS,2017-01-21,AACT Combined Events Championships,Canberra,AUS,Female,Outdoor,False,Hurdles
200 m hurdles (straight),24.86,Shiann Salmon,JAM,2021-05-23,Adidas Boost Boston Games,Boston,USA,Female,Outdoor,False,Hurdles
300 m hurdles,36.86,Femke Bol,NED,2022-05-31,Ostrava Golden Spike,Ostrava,CZE,Female,Outdoor,False,Hurdles
Tetradecathlon,10798 pts,Milla Kelo,FIN,2002-09-08,,Turku,FIN,Female,Outdoor,False,Multisport Events
3000 m walk (track),11:48.24,Ileana Salvador,ITA,1993-08-29,,Padua,ITA,Female,Outdoor,False,Walking
5000 m walk (track),20:01.80,Eleonora Giorgi,ITA,2014-05-18,Italian Clubs League Meet,Misterbianco,ITA,Female,Outdoor,False,Walking
5 km walk (road),19:46,Kjersti Plätzer,NOR,2006-08-27,Internationaler Geher-Cup,Hildesheim,GER,Female,Outdoor,False,Walking
10 km walk (road),41:04.00,Yelena Nikolayeva,RUS,1996-04-20,Russian Championships,Sochi,RUS,Female,Outdoor,False,Walking
30 km walk (road),2:24:33.00,Paola Pérez,ECU,2017-10-22,,Hauppauge,USA,Female,Outdoor,False,Walking
35 km walk (road),2:38:24.00,Klavdiya Afanasyeva,RUS,2019-02-18,Russian Winter Walking Championships,Sochi,RUS,Female,Outdoor,False,Walking
Sprint medley relay (1–1–2–4),1:35.20,"Destinee Brown, Aaliyah Brown, Kimberlyn Duncan, Raevyn Rogers",USA,2018-04-28,Penn Relays,Philadelphia,USA,Female,Outdoor,False,Relay
Swedish relay (1–2–3–4),2:01.10,"Marina Zhirova, Yelena Mizera, Yelena Ruzina, Tatyana Alekseyeva",RUS,1993-06-05,,Portsmouth,GBR,Female,Outdoor,False,Relay
Sprint medley relay (2-2-4-8),3:34.56,"Sherri-Ann Brooks, Rosemarie Whyte, Moya Thompson, Kenia Sinclair",JAM,2009-04-01,Penn Relays,Philadelphia,USA,Female,Outdoor,False,Relay
4 × mile relay,18:39.58,"Brenda Bushnell, Leann Warren, Kathy Hayes, Claudette Groenendaal",USA,1985-05-05,,Eugene,USA,Female,Outdoor,False,Relay
4 × 100 m hurdles relay,50.50,"Brianna Rollins, Dawn Harper-Nelson, Queen Harrison, Kristi Castlin",USA,2015-04-24,Drake Relays,Des Moines,USA,Female,Outdoor,False,Hurdles
30 m,3.81,Churandy Martina,NED,2008-11-14,Domino Day,Amsterdam,NED,Male,Indoor,False,Sprint
40 y,4.12,Christian Coleman,USA,2017-05-02,Trial,Knoxville,USA,Male,Indoor,False,Sprint
50 y,5.22,Stanley Floyd,USA,1982-01-22,,Los Angeles,USA,Male,Indoor,False,Sprint
50 y,5.15,Ben Johnson,CAN,1988-01-29,,Toronto,CAN,Male,Indoor,False,Sprint
50 y,5.00,Kirk Clayton,USA,1970-01-10,,Calgary,CAN,Male,Indoor,False,Sprint
50 y,5.00,Herb Washington,USA,1972-02-02,,Toronto,CAN,Male,Indoor,False,Sprint
50 y,5.00,Mel Pender,USA,1972-03-04,,Orlando,USA,Male,Indoor,False,Sprint
50 y,5.00,Mel Pender,USA,1972-03-18,,Hamilton,CAN,Male,Indoor,False,Sprint
50 y,5.00,Herb Washington,USA,1973-02-04,,Toronto,CAN,Male,Indoor,False,Sprint
50 y,5.00,Manfred Ommer,FRG,1975-03-14,,Leverkusen,FRG,Male,Indoor,False,Sprint
60 y,5.80,Herb Washington,USA,1972-02-12,,East Lansing,USA,Male,Indoor,False,Sprint
60 y,5.80,Mel Pender,USA,1973-05-25,,Salt Lake City,USA,Male,Indoor,False,Sprint
55 m,5.99,Obadele Thompson,BAR,1997-02-22,,Colorado Springs,USA,Male,Indoor,False,Sprint
70 y,6.80,Mel Pender,USA,1965-02-27,Mason-Dixon Games,Louisville,USA,Male,Indoor,False,Sprint
70 y,6.80,Craig Wallace,USA,1965-02-27,Mason-Dixon Games,Louisville,USA,Male,Indoor,False,Sprint
70 y,6.80,Larry Highbaugh,USA,1970-02-14,Mason-Dixon Games,Louisville,USA,Male,Indoor,False,Sprint
70 y,6.80,Jim Green,USA,1970-02-14,Mason-Dixon Games,Louisville,USA,Male,Indoor,False,Sprint
70 y,6.80,Mel Pender,USA,1971-02-13,Mason-Dixon Games,Louisville,USA,Male,Indoor,False,Sprint
70 y,6.80,Jean-Louis Ravelomanantsoa,MAD,1973-06-01,Mason-Dixon Games,Louisville,USA,Male,Indoor,False,Sprint
70 y,6.80,Warren Edmondson,USA,1973-06-01,Mason-Dixon Games,Louisville,USA,Male,Indoor,False,Sprint
70 y,6.80,Harrington Jackson,USA,1973-06-01,Mason-Dixon Games,Louisville,USA,Male,Indoor,False,Sprint
100 m,9.98,Usain Bolt,JAM,2014-08-23,Kamila Skolimowska Memorial,Warsaw,POL,Male,Indoor,False,Sprint
150 m,14.99,Donovan Bailey,CAN,1997-06-01,Bailey–Johnson 150-metre race,Toronto,CAN,Male,Indoor,False,Sprint
300 y,29.27,Terron Wright,USA,1981-02-07,,Bloomington,USA,Male,Indoor,False,Sprint
300 m,31.56,Steven Gardiner,BAH,2022-01-28,South Carolina Invitational,Columbia,USA,Male,Indoor,False,Sprint
500 y,53.90,Larry James,USA,1973-05-25,ITA meet,Salt Lake City,USA,Male,Indoor,False,Sprint
500 m,59.83,Abdalelah Haroun,QAT,2016-02-17,Globen Galan,Stockholm,SWE,Male,Indoor,False,Sprint
600 y,1:06.93,Moitalel Naadokila,KEN,2020-02-15,,Lubbock,USA,Male,Indoor,False,Middle Distance
600 y,1:06.68,Jonathan Jones,BAR,2022-02-26,Big 12 Championships,Ames,USA,Male,Indoor,False,Middle Distance
600 m,1:13.77,Donavan Brazier,USA,2019-02-24,USA Indoor Championships,Staten Island,USA,Male,Indoor,False,Sprint
1000 y,2:04.39,Johnny Gray,USA,1986-02-23,,San Diego,USA,Male,Indoor,False,Middle Distance
1600 m,3:45.69,Yomif Kejelcha,ETH,2019-03-03,Bruce Lehane Invitational,Boston,USA,Male,Indoor,False,Middle Distance
2000 m,4:49.99,Kenenisa Bekele,ETH,2007-02-17,Aviva Indoor Grand Prix,Birmingham,GBR,Male,Indoor,False,Middle Distance
3200 m,7:57.89,Josh Kerr,GBR,2024-02-11,Millrose Games,New York City,USA,Male,Indoor,False,Long Distance
Two miles,8:00.67,Josh Kerr,GBR,2024-02-11,Millrose Games,New York City,USA,Male,Indoor,False,Long Distance
"10,000 m",27:50.29,Mark Bett,KEN,2002-02-10,Indoor Flanders Meeting,Ghent,BEL,Male,Indoor,False,Long Distance
Marathon,2:19:01,Malcolm Richards,USA,2018-03-17,The Armory Indoor Marathon,New York City,USA,Male,Indoor,False,Long Distance
2000 m steeplechase,5:13.77,Paul Kipsiele Koech,KEN,2011-02-13,Indoor Flanders Meeting,Ghent,BEL,Male,Indoor,False,Middle Distance
3000 m steeplechase,8:17.46,Aleksandr Zagoruyko,URS,1982-02-21,,Moscow,URS,Male,Indoor,False,Long Distance
50 y hurdles,5.88,Greg Foster,USA,1986-01-17,,Los Angeles,USA,Male,Indoor,False,Hurdles
60 y hurdles,6.82,Renaldo Nehemiah,USA,1982-01-30,,Dallas,USA,Male,Indoor,False,Hurdles
55 m hurdles,6.89,Renaldo Nehemiah,USA,1979-01-20,,New York City,USA,Male,Indoor,False,Hurdles
110 m hurdles,13.34,Allen Johnson,USA,1995-02-14,,Moscow,RUS,Male,Indoor,False,Hurdles
300 m hurdles,34.26,Karsten Warholm,NOR,2018-02-10,Avoimet Pirkanmaan,Tampere,FIN,Male,Indoor,False,Hurdles
400 m hurdles,48.78,Félix Sánchez,DOM,2012-02-18,Meeting National Val-de-Reuil,Val-de-Reuil,FRA,Male,Indoor,False,Hurdles
Discus throw,69.51 m,Gerd Kanter,EST,2009-03-22,World Record Indoor Challenge,Växjö,SWE,Male,Indoor,False,Throwing
Weight throw,26.35 m,Daniel Haugh,USA,2024-02-16,USA Championships,Albuquerque,USA,Male,Indoor,False,Throwing
Javelin throw,85.78 m,Matti Närhi,FIN,1996-03-03,,Kajaani,FIN,Male,Indoor,False,Throwing
3000 m walk,10:30.28,Tom Bosworth,GBR,2018-02-25,Glasgow Grand Prix,Glasgow,GBR,Male,Indoor,False,Walking
Two miles walk,11:54.50,Valdas Kazlauskas,URS,1990-02-24,,Kaunas,URS,Male,Indoor,False,Walking
"10,000 m walk",38:23.73,Wang Zhen,CHN,2015-02-08,,Genoa,ITA,Male,Indoor,False,Walking
"15,000 m walk",1:00:03.90,Valdas Kazlauskas,URS,1987-01-24,,Kaunas,URS,Male,Indoor,False,Walking
"20,000 m walk",1:20:40.00,Ronald Weigel,GDR,1980-01-27,,Senftenberg,GDR,Male,Indoor,False,Walking
Sprint medley relay,3:15.10,"Mark Everett, James Trapp, Kevin Little, Butch Reynolds",USA,1993-03-14,World Indoor Championships,Toronto,CAN,Male,Indoor,False,Relay
Distance medley relay,9:19.42,"Cole Hocker, Luis Peralta, Charlie Hunter, Cooper Teare","USA, DOM, AUS, USA",2021-01-29,Razorback Invitational,Fayetteville,USA,Male,Indoor,False,Relay
4 × mile relay,16:03.68,"David Ribich (4:08.2), Henry Wynne (4:01.4), Brannon Kidder (3:56.8), Izaic Yorks (3:57.2)",USA,2019-01-26,Dr. Sander Columbia Challenge,New York City,USA,Male,Indoor,False,Relay
4 × 60y shuttle hurdle relay,27.6,"T.G. Parker, Joe Kahiapo, Ahart Powers, Dick McIntosh",USA,1975-02-21,,Colorado Springs,USA,Male,Indoor,False,Hurdles
50 y,5.74,Evelyn Ashford,USA,1983-02-18,,San Diego,USA,Female,Indoor,False,Sprint
60 y,6.54,Evelyn Ashford,USA,1982-02-07,USA Indoor Track and Field Championships,New York City,USA,Female,Indoor,False,Sprint
60 y,6.54,Jeanette Bolden,USA,1986-02-21,,Los Angeles,USA,Female,Indoor,False,Sprint
55 m,6.56,Gwen Torrence,USA,1987-03-14,NCAA,Oklahoma City,USA,Female,Indoor,False,Sprint
100 y,10.15,Heike Drechsler,GDR,1987-02-08,,Senftenberg,GDR,Female,Indoor,False,Sprint
100 m,11.15,Marita Koch,GDR,1980-01-12,,East Berlin,GDR,Female,Indoor,False,Sprint
300 y,32.63,Merlene Ottey,JAM,1982-03-13,,Cedar Falls,USA,Female,Indoor,False,Sprint
300 m,35.45,Irina Privalova,RUS,1993-01-17,,Moscow,RUS,Female,Indoor,False,Sprint
300 m,35.45,Shaunae Miller-Uibo,BAH,2018-02-03,Millrose Games,New York City,USA,Female,Indoor,False,Sprint
500 y,1:00.61,Jearl Miles-Clark,USA,2000-02-19,,Pocatello,USA,Female,Indoor,False,Sprint
500 m,1:05.63,Femke Bol,NED,2023-02-04,New Balance Indoor Grand Prix,Boston,USA,Female,Indoor,False,Sprint
600 y,1:16.76,Michaela Rose,USA,2024-01-20,Corky Classic,Lubbock,USA,Female,Indoor,False,Middle Distance
600 m,1:23.41,Keely Hodgkinson,GBR,2023-01-28,Manchester World Indoor Tour,Manchester,GBR,Female,Indoor,False,Sprint
1000 y,2:23.5,Joetta Clark,USA,1986-03-09,,Gainesville,USA,Female,Indoor,False,Middle Distance
1600 m,4:11.84,Genzebe Dibaba,ETH,2016-02-17,Globen Galan,Stockholm,SWE,Female,Indoor,False,Middle Distance
2000 m,5:23.75,Genzebe Dibaba,ETH,2017-02-07,Míting Internacional de Catalunya,Sabadell,ESP,Female,Indoor,False,Middle Distance
3200 m,8:57.34,Genzebe Dibaba,ETH,2014-02-15,Aviva Indoor Grand Prix,Birmingham,GBR,Female,Indoor,False,Long Distance
Two miles,9:00.48,Genzebe Dibaba,ETH,2014-02-15,Aviva Indoor Grand Prix,Birmingham,GBR,Female,Indoor,False,Long Distance
"10,000 m",32:44.97,Olga Michurina,RUS,1995-12-23,,Saint Petersburg,RUS,Female,Indoor,False,Long Distance
Marathon,2:40:55,Lindsey Scherf,USA,2018-03-17,The Armory Indoor Marathon,New York City,USA,Female,Indoor,False,Long Distance
55 m hurdles,7.30,Tiffany Lott-Hogan,USA,1997-02-22,,Colorado Springs,USA,Female,Indoor,False,Hurdles
100 m hurdles,12.64,Ludmila Engquist,SWE,1997-02-10,,Tampere,FIN,Female,Indoor,False,Hurdles
300 m hurdles,40.09,Stine Tomb,NOR,2011-02-05,Finland-Sweden-Norway Indoor Match,Tampere,FIN,Female,Indoor,False,Hurdles
400 m hurdles,56.41,Sheena Tosta,USA,2011-02-12,Meeting National,Val-de-Reuil,FRA,Female,Indoor,False,Hurdles
2000 m steeplechase,5:47.79,Maruša Mišmaš,SLO,2020-02-19,Meeting Hauts de France Pas de Calais,Liévin,FRA,Female,Indoor,False,Middle Distance
3000 m steeplechase,9:07.00,Tatyana Petrova,RUS,2006-02-17,,Moscow,RUS,Female,Indoor,False,Long Distance
3000 m steeplechase,9:54.20,Marcela Lustigova,CZE,2010-02-11,Botnia Games,Korsholm,FIN,Female,Indoor,False,Long Distance
Discus throw,65.23 m,Shanice Craft,GER,2023-02-10,ISTAF Indoor,Berlin,GER,Female,Indoor,False,Throwing
Weight throw,26.02 m,Deanna Price,USA,2023-02-17,USA Championships,Albuquerque,USA,Female,Indoor,False,Throwing
Javelin throw,57.75 m,Anna Wessman,SWE,2012-03-10,World Indoor Throwing,Växjö,SWE,Female,Indoor,False,Throwing
Javelin throw,61.29 m,Taina Uppa,FIN,1999-02-28,,Korsholm,FIN,Female,Indoor,False,Throwing
Mile walk,6:16.72,Sada Eidikytė,URS,1990-02-24,,Kaunas,URS,Female,Indoor,False,Walking
Two miles walk,13:11.88,Ileana Salvador,ITA,1990-02-14,,Genoa,ITA,Female,Indoor,False,Walking
5000 m walk,20:10.30,Vera Sokolova,RUS,2010-12-30,Mordovian Indoor Championships,Saransk,RUS,Female,Indoor,False,Walking
"10,000 m walk",43:54.63,Yelena Ginko,BLR,2008-02-22,Belarusian Championships,Mogilev,BLR,Female,Indoor,False,Walking
4 × 100 m relay,44.39,"Anne-Kathrin Elbe, Anne Möllinger, Cathleen Tschirch, Marion Wagner",GER,2010-01-31,BW-Bank Meeting,Karlsruhe,GER,Female,Indoor,False,Relay
Sprint medley relay,3:45.90,"Joetta Clark Diggs, Wendy Vereen, Kim Batten, Jearl Miles Clark",USA,1993-03-14,World Indoor Championships,Toronto,CAN,Female,Indoor,False,Relay
Distance medley relay,10:33.85,"Heather McLean, Kendall Ellis, Roisin Willis, Elle Purrier St. Pierre",USA,2022-04-15,,Boston,USA,Female,Indoor,False,Relay
